#gene	percentage_gene_coverage	gene_mean_read_coverage	percentage_gene_low_coverage	number_positions_multiple_alleles	percentage_gene_identity
gb:KY586306|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_1|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586427|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_101|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586428|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_102|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586432|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_105|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586433|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_106|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586435|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_108|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586437|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_110|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586438|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_111|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586446|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_115|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586447|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_116|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586318|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_12|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586452|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_121|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586453|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_122|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586455|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_124|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586457|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_126|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586458|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_127|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586459|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_128|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586460|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_129|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586461|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_130|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586462|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_131|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586470|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_134|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
gb:KY586474|Organism:Dengue_virus|Strain_Name:Ser1_Thailand_BangkokSeq_138|Segment:null|Subtype:1-I|Host:Human|gaps_removed|seqTyping_1-I	0.0	0.0	100.0	0	0
